Neighborhood,empl13,unempl13,nilf13,unempr13,lesshs13,hsdipl13,somecol13,wrkout10,wrkout11,comprop10,comprop11,comprop12,comprop13,crehab10,crehab11,crehab12,crehab13,banks11,banks12,banks13,numbus10,numbus11,numbus12,numbus13,totemp10,totemp11,totemp12,totemp13,smlbus10,smlbus11,smlbus12,smlbus13,biz1_10,biz1_11,biz1_12,biz1_13,biz2_10,biz2_11,biz2_12,biz2_13,biz4_10,biz4_11,biz4_12,biz4_13,neiind10,neiind11,neiind12,neiind13,neibus10,neibus11,neibus12,neibus13,neiemp10,neiemp11,neiemp12,neiemp13,prbprl12
Greater Charles Village/Barclay,50.5,6.3,43.2,11.1,13.7,42.5,43.8,49.2,58,630,626,614,615,18.9,17.7,20.7,18,0.2,0.2,0.2,884,842,896,995,10955,7377,7585,7764,862,823,870,959,10.2,10,9.8,5.5,21.9,18.5,22.2,23,40,36.5,36.7,39.9,668,652,669,741,40.8,39.8,40.8,45.2,8545,4879,5182,5390,2.7
Greater Govans,60.4,8.3,31.3,12.1,20.6,63.1,16.3,52.400000000000006,49,122,121,120,120,4.1,3.3,10,4.2,0,0,0,149,153,156,186,989,921,983,1051,146,151,153,177,7.4,9.2,5.1,7,26.8,15.7,17.9,28.5,38.3,36.6,37.8,46.2,107,109,112,122,10,10.2,10.5,11.4,535,551,561,577,6.4
Greater Mondawmin,48.7,14.4,36.9,22.8,19.9,65.5,14.6,52,47,147,147,147,147,19,20.4,15,26.5,0.2,0.4,0.4,225,262,281,298,4279,3732,3349,3354,209,245,263,279,8.4,11.1,11.4,5,16.4,19.5,25.3,22.1,31.1,32.1,36.3,43.3,152,185,203,209,16.3,19.8,21.8,22.4,2323,1798,1865,2013,7
Greater Roland Park/Poplar Hill,77.1,2.8,20.1,3.5,1.2,19.6,79.2,44.8,37.299999999999997,116,116,116,115,26.7,12.9,16.4,9.6,0.7,0.5,0.7,350,356,395,425,3412,3710,3812,3809,334,339,372,405,5.7,5.3,8.9,2.1,17.4,6.7,16.7,17.4,30.9,23.6,28.1,31.8,265,275,293,320,35.9,37.3,39.7,43.1,2323,2540,2544,2539,0.8
Greater Rosemont,48.6,15.5,36,24.1,28.3,63.9,7.9,51.6,51.5,301,300,304,306,6.6,7,6.6,5.6,0.1,0.1,0.1,311,284,316,329,2005,2354,2488,2289,303,273,304,312,9.3,9.5,10.1,8.2,21.5,18.3,23.7,22.2,37.3,35.2,38.3,41.6,232,213,226,238,12,11.1,11.7,12.4,1016,1119,1164,1013,8.8
Greenmount East,46.1,15.7,38.2,25.6,24.6,69.7,5.7,47.5,52.8,193,193,193,193,1.6,3.1,4.7,4.1,0,0,0,178,165,182,175,1173,1097,1145,1130,172,160,176,168,10.1,9.1,12.1,3.4,21.3,14.5,23.1,17.7,30.9,29.1,33.5,29.7,137,136,138,138,14.5,14.4,16.9,16.9,730,679,673,682,11.1
Hamilton,74.8,7.1,18.1,8.7,12.4,60.3,27.3,56,59.5,195,195,193,193,7.2,11.3,4.1,5.2,0.1,0.2,0.2,263,241,265,296,2149,1862,1807,1950,254,233,258,286,6.1,5.4,8.3,5.7,20.2,8.7,17.4,22.6,34.6,27.8,29.1,35.5,184,169,184,208,14.2,13,14.2,16,1395,1277,1185,1197,3.6
Harbor East/Little Italy,59.3,11.1,29.7,15.8,27,41.5,31.5,41.900000000000006,43.9,489,484,479,478,14.5,12.6,10.2,11.5,0.7,0.7,0.7,408,389,419,513,41601,45289,42537,43434,390,368,388,474,10.3,8.7,8.6,6.8,23.5,15.4,20,21.8,39.5,33.7,32.9,40.9,260,260,271,336,48.1,48.1,50.1,62,6367,10134,7337,7776,8.5
Harford/Echodale,72.1,7.3,20.6,9.2,10.5,66,23.5,60.3,56.5,191,190,188,188,6.8,14.2,12.8,11.2,0.2,0.1,0.1,278,316,285,358,2549,2536,2549,3000,269,308,275,338,4.7,9.5,9.1,5.3,12.9,15.5,20,23.2,25.9,27.5,29.1,39.9,185,216,186,229,11,12.8,11,13.6,1236,1204,1108,1327,3.8
Highlandtown,77.4,3.6,19,4.5,23.1,38.2,38.6,54.699999999999996,51.5,374,371,373,372,9.4,11.6,11.5,7.5,1,0.7,0.7,386,369,409,416,2803,2528,2728,2813,375,358,395,401,9.8,8.1,9.3,4.3,19.2,15.4,20.8,20.9,31.6,30.1,32.8,35.6,271,258,279,286,37.4,35.6,38.5,39.4,1979,1677,1740,1813,2.7
Howard Park/West Arlington,59.1,12,29,16.8,17.4,67,15.6,57.300000000000004,52.6,156,155,151,152,11.5,8.4,13.9,15.8,0.3,0.2,0.3,174,207,174,248,2889,2927,2887,3262,163,195,157,227,2.9,7.2,5.2,5.2,14.9,13.5,10.9,21,28.7,30.9,23.6,36.3,123,148,126,166,11.3,13.6,11.6,15.3,1960,2159,2283,2351,4.4
Inner Harbor/Federal Hill,79.1,4.2,16.7,5,10.5,23.4,66.1,54.3,55.5,505,509,498,494,19.2,27.5,31.3,17.2,0.4,0.4,0.4,810,767,833,908,15541,14565,14471,16762,756,716,773,837,7.9,9.5,9.1,3.7,21.6,15.1,21.8,20.9,37.4,33.4,35.4,37.8,570,566,589,657,69.9,69.4,45.8,51.1,10665,9633,9646,10921,1.9
Lauraville,66.7,9.4,24,12.3,10.1,54.1,35.7,54,61,144,134,133,131,3.5,2.2,5.3,8.4,0.1,0,0,234,220,239,271,1752,1430,1533,1777,227,215,231,257,12.4,10.5,8.4,5.9,27.8,20.5,22.2,21.4,40.2,37.7,39.3,48,157,149,158,178,12.8,12.1,12.9,14.5,1225,950,956,1120,3.4
Loch Raven,64.1,8.9,26.9,12.2,16.4,61.2,22.5,53.1,49,53,53,50,50,34,20.8,40,28,0.2,0.2,0.2,216,203,213,246,4256,2016,1949,1918,206,193,196,236,5.1,6.9,3.8,4.1,20.8,11.3,14.1,21.1,29.6,28.6,30.5,36.2,171,166,169,194,11.2,10.8,11,12.7,3650,1458,1364,1333,3.7
Madison/East End,44.3,15.6,40.1,26.1,39.7,55.1,5.2,49.9,45.8,183,183,187,187,7.7,1.6,1.1,4.3,0,0,0,212,162,218,230,1142,923,1150,1297,209,160,216,222,9,8.6,11.9,7.8,19.8,14.2,23.9,20.9,36.3,30.2,35.3,33.9,174,136,168,182,22.4,17.5,21.6,23.4,756,585,709,858,14.5
Medfield/Hampden/Woodberry/Remington,78.3,5.4,16.3,6.5,14.6,35.3,50.1,50.4,49.5,551,545,544,544,10.3,13.8,19.1,21.3,0.2,0.3,0.3,861,818,849,929,12954,9358,9521,9296,828,788,803,885,7.3,6,4.7,3.6,17.4,12.6,13.2,19.4,31,28,27.4,34.1,560,552,575,626,32.2,31.7,33.1,35.9,4620,4108,4762,4966,1.9
Midtown,61.3,6.6,32.1,9.7,12.9,28.9,58.2,46.8,52.5,966,963,815,807,8.1,7.8,12.1,14.9,0.2,0.3,0.3,1100,993,1079,1209,29523,26944,13479,14236,1063,964,1037,1146,10.1,6.6,9.3,5.6,18.9,14.3,17.9,22.4,32.5,27.2,29.9,37.2,799,725,763,856,53.2,48.3,50.8,57,22948,22533,6661,6971,1.7
Midway/Coldstream,55.5,11.7,32.8,17.4,24.9,69.3,5.8,52.900000000000006,49.3,284,284,284,282,3.2,3.9,2.5,4.3,0.1,0.1,0.1,228,207,218,254,1576,1352,1538,2031,223,203,213,246,10.1,6.8,8.3,4.3,21.1,13.5,20.6,17.7,36.4,33.3,32.6,35.4,163,154,153,186,16.9,16,15.9,19.3,787,707,721,926,10.1
Morrell Park/Violetville,62.2,9.4,28.4,13.2,31.6,56.6,11.9,68.7,67.099999999999994,474,475,477,477,11,10.5,17.6,10.9,0.1,0.1,0.1,463,456,436,428,7894,8240,9706,6935,431,423,396,390,5.8,5.7,4.8,5.6,15.8,12.3,11.5,19.2,27.9,27,24.5,32.7,277,276,260,259,30.9,30.8,29,28.9,3659,4107,5771,3539,3.6
Mount Washington/Coldspring,83.9,3.9,12.2,4.5,5.3,25.3,69.5,49.9,49.8,102,99,98,98,9.8,14.1,26.5,14.3,0.2,0,0,219,194,200,238,3220,2530,2705,2856,204,182,185,220,6.4,5.2,6,0.8,25.1,11.3,13,18.1,37.9,38.1,33.5,36.6,158,138,136,171,30.6,26.7,26.3,33.1,2631,2062,2129,2325,0.6
North Baltimore/Guilford/Homeland,56.8,4.4,38.8,7.2,4.3,22.2,73.6,50.2,52.2,235,235,235,234,22.1,17,15.7,17.9,0.1,0,0,411,394,415,504,4089,2961,3745,3984,397,385,401,479,6.3,7.4,6.3,3.6,20.4,13.2,14.5,19.8,32.8,31,30.8,40.5,307,295,313,367,17.6,16.9,17.9,21,2594,1734,2224,2295,0.7
Northwood,55.5,10.1,34.5,15.4,12.6,63.4,24,53.5,46.6,63,63,63,63,11.1,19,22.2,7.9,0,0.1,0.1,157,145,153,182,3220,2541,2685,3334,148,137,143,173,13.4,9,5.9,6,32.5,18.6,18.3,22.5,43.9,40.7,38.6,42.9,107,94,100,114,6.4,5.6,6,6.8,1861,1821,1846,1878,3.4
Oldtown/Middle East,36.2,14.8,49,29,36.1,51.5,12.4,51.4,49.9,480,486,495,487,24.4,27.2,24,13.1,0.3,0.4,0.4,475,480,482,561,15720,9657,14518,14974,448,456,447,521,7.8,6.3,6.6,1.8,26.9,11,14.9,14.6,43.6,37.9,37.1,28.2,367,382,361,439,42,43.7,36,43.2,10872,5870,9026,6419,9
Orangeville/East Highlandtown,63.3,8.2,28.5,11.5,39.2,49.2,11.6,58.7,55.7,619,620,625,625,15.5,16.1,21,17,0.3,0.3,0.3,553,542,562,594,10386,10063,10090,10766,520,511,518,553,6.5,4.8,6.8,3.5,18.8,11.6,13.7,15.5,32.7,31.5,31.7,29.5,310,304,307,331,34,33.3,33.6,36.3,6662,6420,6356,6490,4.3
Patterson Park North & East,65,9.3,25.7,12.5,25.5,40.3,34.2,51.7,45.5,162,162,161,161,7.4,6.8,6.8,9.9,0.1,0,0,205,194,207,218,1403,1382,1383,1345,200,189,203,209,8.3,10.3,11.1,6,18.5,19.1,22.7,21.1,39.5,34.5,33.8,39,159,148,155,153,10.9,10.2,10.7,10.4,763,745,774,686,5.7
Penn North/Reservoir Hill,48.7,13.7,37.7,21.9,24,53.9,22.1,49.9,43.2,145,143,140,142,6.9,7,3.6,2.8,0,0.1,0,246,160,166,189,2398,1372,1337,1717,238,155,161,181,6.5,11.3,7.2,8.5,16.7,16.3,19.9,22.2,30.1,30,30.1,38.1,180,113,116,132,18.6,11.7,12,13.7,1322,533,492,869,7.7
Pimlico/Arlington/Hilltop,51.3,11.7,37,18.6,26.7,65.9,7.4,55.7,50.1,207,207,208,208,22.7,23.7,14.4,9.6,0.2,0.1,0.1,360,332,371,409,4281,3358,4629,4163,349,321,344,398,7.2,6.9,9.4,6.8,23.9,13.9,20.8,26.9,34.7,34.3,38.3,41.1,299,277,301,335,25.3,23.4,25.5,28.4,3796,2905,4095,3615,7.6
Poppleton/The Terraces/Hollins Market,53.8,11.4,34.9,17.5,31,52.6,16.4,49,55.5,233,233,236,236,9,11.6,4.2,8.1,0.2,0.4,0.2,149,134,148,156,1203,1081,1180,1162,145,131,144,148,12.8,6.7,10.1,11.5,30.2,20.9,20.9,26.3,40.9,41.8,43.2,44.2,110,93,96,98,21.6,18.3,18.9,19.3,831,680,667,594,8.4
Sandtown-Winchester/Harlem Park,47.7,14,38.3,22.7,30.1,64.5,5.5,51.300000000000004,47,190,192,188,189,14.2,22.4,7.4,2.6,0,0,0,246,221,249,281,1730,1551,1797,1807,238,214,240,266,11.8,9,10.4,7.5,23.6,16.3,22.9,27.8,33.7,29.9,37.3,42.7,199,188,202,219,13.4,12.6,13.6,14.7,1017,1018,1068,1065,10.4
South Baltimore,83.8,6.3,9.9,7,12.2,29.9,58,57.7,53.3,251,252,260,258,25.9,30.6,21.5,21.7,0.5,0.5,0.5,244,236,258,295,7213,7142,9151,9401,227,223,237,267,8.2,6.4,7,6.8,17.6,11.9,17.1,26.1,32.8,28.4,29.1,42,152,155,168,196,13.7,14,26.2,30.6,2357,5967,7854,8346,1.7
Southeastern,57.2,10.5,32.3,15.7,28.3,60.6,11.1,59.599999999999994,55.6,429,429,434,434,11,13.5,16.8,32.9,0.5,0.6,0.5,388,413,428,411,19662,13684,13550,7483,353,381,392,378,7,8.7,6.1,3.6,17.8,17.2,17.3,18.7,32.2,33.2,32,35,180,200,204,199,28.8,31.9,32.6,31.8,2783,3093,3077,3230,4.6
Southern Park Heights,45.7,16.4,38,26.5,27.7,62.9,9.5,55.199999999999996,51.8,179,180,180,177,6.7,5.6,3.9,6.2,0,0,0,203,188,204,234,1708,1582,1590,1750,196,181,197,224,9.4,8.5,10.3,8.1,21.2,16,21.1,25.6,36.5,31.9,34.3,38,147,137,145,160,11.1,10.3,10.9,12,890,841,829,714,9.1
Southwest Baltimore,47.3,15.7,36.9,24.9,31.4,59.1,9.5,56.9,60.1,700,698,697,697,3,3.6,3.7,1.6,0,0.1,0.1,452,442,478,519,3938,4148,3386,3425,443,431,465,500,9.3,10.9,9,7.7,20.6,18.6,23.8,24.3,33.4,34.4,36.6,43.2,324,326,344,378,18.1,18.2,19.2,21.1,2564,2689,1762,1916,11.1
The Waverlies,66.7,12.9,20.4,16.2,16.2,60.2,23.5,47.8,55.6,172,172,173,173,6.4,6.4,6.9,11,0,0,0,170,164,184,201,1972,1955,2059,1733,163,157,175,191,4.7,9.1,9.8,6.5,18.2,15.2,21.2,22.9,33.5,32.9,36.4,39.8,114,113,127,134,14.7,14.6,16.4,17.2,858,842,910,972,5.9
Upton/Druid Heights,36.5,14.6,48.9,28.6,33.2,55.5,11.2,50.1,55.1,315,312,312,312,7.6,6.1,4.2,8.7,0,0,0,314,298,304,300,2747,2662,2885,2497,301,287,270,268,9.9,8.7,5.6,6.3,19.7,14.8,16.8,24,28.3,27.5,28.3,37,203,199,194,196,17,16.7,18.8,19,1151,1265,1243,1019,8.4
Washington Village/Pigtown,64.4,9.4,26.2,12.8,20.9,45.1,33.9,57.300000000000004,53.6,342,341,338,329,14.6,15.2,13.6,25.8,0.4,0.4,0,350,323,367,391,8327,5908,7153,7205,320,300,328,347,8,5.3,9.5,4.9,14.9,11.5,20.7,21.2,28.3,26,31.1,38.1,183,173,187,203,33.3,31.4,34,36.7,1619,3061,3647,3563,6.9
Westport/Mount Winans/Lakeland,59.4,11.4,29.1,16.1,31.5,60.3,8.2,64.5,60.9,253,253,253,253,13.4,11.1,4.3,8.3,0.1,0,0.3,247,243,244,250,3592,3612,3443,3544,229,224,226,229,11.3,7.8,6.1,6,20.6,16,16.4,21.2,33.2,28.8,29.1,38.4,147,146,147,134,20.6,20.5,20.6,18.8,1747,1668,1513,1446,7.5
Baltimore City,60.1,9.9,30,14.2,19.8,53.4,26.8,54.199999999999996,53.8,15828,15741,15609,15521,12.4,13.6,14.4,13,0.2,0.2,0.2,20243,19318,20403,22869,377092,342817,341911,340804,19321,18503,19265,21572,8,8.1,7.9,5.2,20,14.8,18.7,21.8,34.2,31.6,32.6,38.1,14116,13621,14095,15833,22.7,21.9,22.7,25.4,204596,191144,191306,183725,5.3
